Categories,States,2009-10 (Actual),2010-11 (Actual),2011-12 (Prov.),2012-13 (RE),2013-14 (AP)
I. SPUs,Andhra Pradesh,21.85,22.05,21.68,22.92,25.19
I. SPUs,Assam,33.4,32.53,36.14,35.69,31.24
I. SPUs,Bihar,32.38,34.75,35.37,39.57,39.84
I. SPUs,Chhatishgarh,21.07,22.38,23.69,24.03,17.35
I. SPUs,Delhi,34.37,36.88,34.51,NA,NA
I. SPUs,Gujarat,13.37,13.82,13.62,14.25,14.28
I. SPUs,Haryana,18.48,19.53,19.22,19.08,18.78
I. SPUs,Himachal Pradesh,15.67,15.37,16.52,16.6,16.63
I. SPUs,Jammu and Kashmir,36,31.08,33.56,28.46,28.36
I. SPUs,Jharkhand,38.97,36.87,38.22,44.96,49.59
I. SPUs,Karnataka,21.79,21.68,20.63,20.48,20.27
I. SPUs,Kerala,46.66,46.84,48.2,48.54,49.26
I. SPUs,Madhya Pradesh,21.74,22.16,22.77,21.61,19.92
I. SPUs,Maharashtra,18.38,16.79,16.68,17.28,15.3
I. SPUs,Meghalaya,23.23,23.9,25.99,24.79,18.85
I. SPUs,Orissa,26.89,26.96,30.36,NA,NA
I. SPUs,Punjab,22.23,24.42,25.16,25.21,26.19
I. SPUs,Rajasthan,18.6,19.49,19.17,19.4,19.35
I. SPUs,Tamil Nadu,27.02,28.23,28.98,31.76,33.71
I. SPUs,Uttar Pradesh,35.38,34.53,35.2,34.21,35.32
I. SPUs,Uttrakhand,22.2,20.48,20.31,20.36,20.37
I. SPUs,West Bengal,25.2,24.75,27.36,23.52,25.88
II EDs,Arunachal Pradesh,25.29,19.59,36.76,34.91,27.49
II EDs,Goa,22.62,22.93,22.29,25,25.9
II EDs,Manipur,43.81,39.81,40.52,42.89,43.48
II EDs,Mizoram,56.24,54.85,54.12,53.61,50.77
II EDs,Nagaland,54.01,49.88,54.9,59.65,51.42
II EDs,Ponicherry,22.07,20.98,19.26,20.02,20.34
II EDs,Sikkim,9.91,7.61,7.94,8.01,7.48
II EDs,Tripura,31.04,29.88,33.84,35.4,25.77
