"Sl. No.","States/ UTs","Wind Power (MW) 2022","Small Hydro Power (MW) 2022","Bio-Energy - Biomass Power (MW) 2022","Bio-Energy - Bagase Cogeneration (MW)","Bio-Energy - Waste To Energy (MW)","Solar (GW)","Solar (MW)","Total (MW) 2022"
"1","Andhra Pradesh","74906","409.32","578","300","123","38.44","38440","114756"
"2","Arunachal Pradesh","274","2064.92","8","NA","NA","8.65","8650","10997"
"3","Assam","246","201.99","212","NA","8","13.76","13760","14428"
"4","Bihar ","3650","526.98","619","300","73","11.2","11200","16369"
"5","Chhatisgarh","348","1098.2","236","NA","24","18.27","18270","19976"
"6","Goa","8","4.7","26","NA","NA","0.88","880","918"
"7","Gujarat","142560","201.97","1221","350","112","35.77","35770","180215"
"8","Haryana","419","107.4","1333","350","24","4.56","4560","6793"
"9","Himachal Pradesh","151","3460.34","142","NA","2","33.84","33840","37595"
"10","Jammu & Kashmir","3","1707.45","43","NA","NA","111.05","111050","112803"
"11","Jharkhand","0","227.96","90","NA","10","18.18","18180","18508"
"12","Karnataka","124155","3726.49","1131","450","                                                                                                                                         ","24.7","24700","154162"
"13","Kerala","2311","647.15","1044","NA","36","6.11","6110","10149"
"14","Madhya Pradesh ","15404","820.44","1364","NA","78","61.66","61660","79326"
"15","Maharashtra","98213","786.46","1887","1250","287","64.32","64320","166744"
"16","Manipur","0","99.95","13","NA","2","10.63","10630","10745"
"17","Meghalaya","1","230.05","11","NA","2","5.86","5860","6104"
"18","Mizoram","0","168.9","1","NA","2","9.09","9090","9261"
"19","Nagaland","0","182.18","10","NA","NA","7.29","7290","7482"
"20","Orissa","8346","286.22","246","NA","22","25.78","25780","34681"
"21","Punjab","278","578.28","3172","300","45","2.81","2810","7183"
"22","Rajasthan","127756","51.67","1039","NA","62","142.31","142310","271219"
"23","Sikkim","0","266.64","2","NA","NA","4.94","4940","5209"
"24","Tamil Nadu","68750","604.46","1070","450","151","17.67","17670","88695"
"25","Telangana","24835","102.25","NA","NA","NA","20.41","20410","45347"
"26","Tripura","0","46.86","3","NA","2","2.08","2080","2131"
"27","Uttar Pradesh","101","460.75","1617","1250","176","22.83","22830","26434"
"28","Uttarakhandl","54","1664.31","24","NA","5","16.8","16800","18547"
"29","West Bengal ","1050","392.06","396","NA","148","6.26","6260","8246"
"30","Andaman & Nicobar","1277","7.27","NA","NA","NA","NA","0","1284"
"31","Chandigarh","0","NA","NA","NA","6","NA","0","6"
"32","Dadar & Nagar Haveli","0","NA","NA","NA","NA","NA","0","0"
"33","Daman & Diu","0","NA","NA","NA","NA","NA","0","0"
"34","Delhi","0","NA","NA","NA","131","2.05","2050","2181"
"35","Lakshwadeep","31","NA","NA","NA","NA","NA","0","31"
"36","Pondicherry","382","NA","NA","NA","3","NA","0","385"
"37","Others ","NA","NA","NA","NA","1022","0.79","790","1812"
